ho monitorato dal giorno : 2019-09-11 16:31:22
al giorno : 2019-09-19 09:35:23

nodi connessi invariati: lancio    percentuale      numero-peer-connessi 
  260   0.833333 %   24
  261   0.833333 %   24
  262   0.833333 %   24
  263   0.833333 %   24
  264   0.833333 %   24
  265   0.833333 %   24
  266   0.833333 %   24
  267   0.833333 %   24
  268   0.833333 %   24
  269   0.833333 %   24
  270   0.833333 %   24
  271   0.833333 %   24
  272   0.833333 %   24
  273   0.833333 %   24
  274   0.833333 %   24
  275   0.833333 %   24
  276   0.833333 %   24
  277   0.833333 %   24
  278   0.833333 %   24
  279   0.833333 %   24
  280   0.833333 %   24
  281   0.833333 %   24
  282   0.833333 %   24
  283   0.833333 %   24
  284   0.833333 %   24
  285   0.833333 %   24
  286   0.833333 %   24
  287   0.833333 %   24
  288   0.833333 %   24
  289   0.833333 %   24
  290   0.833333 %   24
  291   0.833333 %   24
  292   0.833333 %   24
  293   0.833333 %   24
  294   0.833333 %   24
  295   0.833333 %   24
  296   0.833333 %   24
  297   0.833333 %   24
  298   0.833333 %   24
  299   0.833333 %   24
  300   0.833333 %   24
  301   0.833333 %   24
  302   0.833333 %   24
  303   0.833333 %   24
  304   0.833333 %   24
  305   0.833333 %   24
  306   0.833333 %   24
  307   0.833333 %   24
  308   0.833333 %   24
  309   0.833333 %   24
  310   0.833333 %   24
  311   0.833333 %   24
  312   0.833333 %   24
  313   0.833333 %   24
  314   0.833333 %   24
  315   0.833333 %   24
  316   0.791667 %   24
  317   0.833333 %   24
  318   0.833333 %   24
  319   0.833333 %   24
  320   0.833333 %   24
  321   0.833333 %   24
  322   0.833333 %   24
  323   0.833333 %   24
  324   0.833333 %   24
  325   0.833333 %   24
  326   0.833333 %   24
  327   0.833333 %   24
  328   0.833333 %   24
  329   0.833333 %   24
  330   0.833333 %   24
  331   0.833333 %   24
  332   0.833333 %   24
  333   0.833333 %   24
  334   0.833333 %   24
  335   0.833333 %   24
  336   0.833333 %   24
  337   0.833333 %   24
  338   0.833333 %   24
  339   0.833333 %   24
  340   0.833333 %   24
  341   0.833333 %   24
  342   0.833333 %   24
  343   0.833333 %   24
  344   0.833333 %   24
  345   0.833333 %   24
  346   0.833333 %   24
  347   0.833333 %   24
  348   0.833333 %   24
  349   0.833333 %   23
  350   0.875000 %   24
  351   0.875000 %   24
  352   0.833333 %   24
  353   0.875000 %   24
  354   0.833333 %   24
  355   0.833333 %   24
  356   0.833333 %   24
  357   0.833333 %   24
  358   0.833333 %   24
  359   0.833333 %   24
  360   0.833333 %   24
  361   0.833333 %   24
  362   0.833333 %   24
  363   0.833333 %   24
  364   0.833333 %   24
  365   0.875000 %   24
  366   0.833333 %   24
  367   0.833333 %   24
  368   0.833333 %   24
  369   0.833333 %   24
  370   0.833333 %   24
  371   0.833333 %   24
  372   0.833333 %   24
  373   0.833333 %   24
  374   0.833333 %   24
  375   0.833333 %   24
  376   0.875000 %   24
  377   0.833333 %   24
  378   0.833333 %   24
  379   0.833333 %   24
  380   0.791667 %   24
  381   0.791667 %   24
  382   0.791667 %   24
  383   0.791667 %   24
  384   0.791667 %   24
  385   0.791667 %   24
  386   0.791667 %   24
  387   0.791667 %   24
  388   0.791667 %   24
  389   0.791667 %   24
  390   0.791667 %   24
  391   0.791667 %   24
  392   0.791667 %   24
  393   0.791667 %   24
  394   0.791667 %   24
  395   0.791667 %   24
  396   0.791667 %   24
  397   0.791667 %   24
  398   0.791667 %   24
  399   0.791667 %   24
  400   0.791667 %   24
  401   0.791667 %   24
  402   0.791667 %   24
  403   0.791667 %   24
  404   0.750000 %   24
  405   0.791667 %   24
  406   0.791667 %   24
  407   0.791667 %   24
  408   0.791667 %   24
  409   0.791667 %   24
  410   0.791667 %   24
  411   0.791667 %   24
  412   0.791667 %   24
  413   0.791667 %   24
  414   0.791667 %   24
  415   0.791667 %   24
  416   0.791667 %   24
  417   0.791667 %   24
  418   0.791667 %   24
  419   0.791667 %   24
  420   0.791667 %   24
  421   0.791667 %   24
  422   0.791667 %   24
  423   0.791667 %   24
  424   0.791667 %   24
  425   0.791667 %   24
  426   0.791667 %   24
  427   0.791667 %   24
  428   0.791667 %   24
  429   0.791667 %   24
  430   0.791667 %   24
  431   0.750000 %   24
  432   0.750000 %   24
  433   0.750000 %   24
  434   0.750000 %   24
  435   0.791667 %   24
  436   0.791667 %   24
  437   0.791667 %   24
  438   0.791667 %   24
  439   0.750000 %   24
  440   0.750000 %   24
  441   0.750000 %   24
  442   0.750000 %   24
  443   0.750000 %   24
  444   0.750000 %   24
  445   0.750000 %   24
  446   0.708333 %   24
  447   0.708333 %   24
  448   0.708333 %   24
  449   0.708333 %   24
  450   0.708333 %   24
  451   0.750000 %   24
  452   0.750000 %   24
  453   0.750000 %   24
  454   0.750000 %   24
  455   0.750000 %   24
  456   0.750000 %   24
  457   0.708333 %   24
  458   0.708333 %   24
  459   0.708333 %   24
  460   0.708333 %   24
  461   0.708333 %   24
  462   0.708333 %   24
  463   0.708333 %   24
  464   0.708333 %   24
  465   0.708333 %   24
  466   0.708333 %   24
  467   0.708333 %   24
  468   0.750000 %   24
  469   0.750000 %   24
  470   0.750000 %   24
  471   0.708333 %   24
  472   0.708333 %   24
  473   0.708333 %   24
  474   0.708333 %   24
  475   0.708333 %   24
  476   0.708333 %   24
  477   0.708333 %   24
  478   0.708333 %   24
  479   0.708333 %   24
  480   0.708333 %   24
  481   0.708333 %   24
  482   0.708333 %   24
  483   0.708333 %   24
  484   0.708333 %   24
  485   0.708333 %   24
  486   0.708333 %   24
  487   0.708333 %   24
  488   0.708333 %   24
  489   0.708333 %   24
  490   0.708333 %   24
  491   0.708333 %   24
  492   0.708333 %   24
  493   0.708333 %   24
  494   0.708333 %   24
  495   0.708333 %   24
  496   0.708333 %   24
  497   0.708333 %   24
  498   0.708333 %   24
  499   0.708333 %   24
  500   0.708333 %   24
  501   0.708333 %   24
  502   0.708333 %   24
  503   0.708333 %   24
  504   0.708333 %   24
  505   0.708333 %   24
  506   0.708333 %   24
  507   0.708333 %   24
  508   0.708333 %   24
  509   0.708333 %   24
